road_key,road_name,measurements_count,stations_count,date_min,date_max,traffic_factor_latest,traffic_factor_max,traffic_factor_mean,vehicle_count_max,vehicle_count_mean,source_latest
cell_u3qck8,cell_u3qck8,1,1,2026-06-01 18:23:34.336391,2026-06-01 18:23:34.336391,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qck9,cell_u3qck9,1,1,2026-06-01 18:23:32.292975,2026-06-01 18:23:32.292975,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qckc,cell_u3qckc,1,1,2026-06-01 18:23:19.314986,2026-06-01 18:23:19.314986,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qckd,cell_u3qckd,1,1,2026-06-01 18:23:14.736727,2026-06-01 18:23:14.736727,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcke,cell_u3qcke,1,1,2026-06-01 18:22:57.197231,2026-06-01 18:22:57.197231,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qckf,cell_u3qckf,1,1,2026-06-01 18:23:07.536758,2026-06-01 18:23:07.536758,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qckg,cell_u3qckg,1,1,2026-06-01 18:23:17.497380,2026-06-01 18:23:17.497380,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qckh,cell_u3qckh,1,1,2026-06-01 18:22:43.285209,2026-06-01 18:22:43.285209,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qckj,cell_u3qckj,1,1,2026-06-01 18:22:58.158026,2026-06-01 18:22:58.158026,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qckk,cell_u3qckk,1,1,2026-06-01 18:23:04.540354,2026-06-01 18:23:04.540354,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qckm,cell_u3qckm,1,1,2026-06-01 18:23:10.017205,2026-06-01 18:23:10.017205,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qckn,cell_u3qckn,1,1,2026-06-01 18:23:29.040007,2026-06-01 18:23:29.040007,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qckp,cell_u3qckp,1,1,2026-06-01 18:23:53.291668,2026-06-01 18:23:53.291668,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qckq,cell_u3qckq,1,1,2026-06-01 18:22:50.403510,2026-06-01 18:22:50.403510,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qckr,cell_u3qckr,1,1,2026-06-01 18:23:36.565212,2026-06-01 18:23:36.565212,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcks,cell_u3qcks,1,1,2026-06-01 18:22:52.224256,2026-06-01 18:22:52.224256,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qckt,cell_u3qckt,1,1,2026-06-01 18:22:52.341895,2026-06-01 18:22:52.341895,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcku,cell_u3qcku,1,1,2026-06-01 18:22:46.168709,2026-06-01 18:22:46.168709,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qckv,cell_u3qckv,1,1,2026-06-01 18:22:49.105138,2026-06-01 18:22:49.105138,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qckw,cell_u3qckw,1,1,2026-06-01 18:23:21.552375,2026-06-01 18:23:21.552375,1.0,1.0,1.0,0,0.0,tomtom_real_time
